,level_0,index,FeatureName,title,Sentence,CS_SS,p/n,Ref
82,82,183,compression,samsung ec-tl500zbpbus ,my pen e-p1 is reliably better for jpegs at high iso settings like 800 and 1600 and is only a little larger and heavier with the kit zoom.,CS,P,olympus pen e-p1
83,83,184,compression,samsung nx210,"i find this more familiar, like my 5d and makes it much faster to make adjustments- my #1 requirement was the ability to easily move the focus point like i can do with a dslr - and you can do it quite easily with this camera - just click the ok button in the center of the buttons.- panoramic mode works well- came with a lens hood- came with a pop-up flash- shoots in raw, even can be set to shoot a simultaneous raw + jpeg so can be quickly emailed without having to go into lightroom if i am running short on timecons- produces very noisy images above 1600 iso (this camera imo is best used with lots of available light or on a tripod)- ergonomically leaves something to be desired - specifically i wish the thumb spot was located where they've stuck the video record button- not that great for taking indoor pictures in a dark-ish room... even thought iso can go up to 12,800 i would never go higher than 3200 with this camera - if you can't let that much natural light into the room, you'll definitely want to use the flashi definitely think the pros outweigh the cons here and i feel like this is a great little camera to add to my collection, when i want some manual controls but don't want to deal with a full size dslr.",CS,P,canon eos 5d 
84,84,186,compression,sigma c78900,")raw files only opens with horrible slow sigma pro software (i got away from the processing of raw files and love the jpegs from x100s)if you print up to 20 x 30 you may not find much of any difference between x100s (you always get it right) and sigma (if you get it right) (may be in crop it might stand better)not good above 400 iso (except you can make decent bw prints with higher iso in nik)priceybottom line:i am in love with my x100s all over again, what a brillant camera.",CS,P,fujifilm x10 
85,85,187,compression,sigma c78900,i am actually selling the prints off the x100s native jpeg files.i would wait for this to evolve and will look into this again in a couple of years when they address issueswish list:ovfgrippy finish and make it less scratch pronefaster processorbetter isobetter / bigger batterymore pocketabledefinitely needs a better raw processor or better lightroom support for raw files,CS,P,fujifilm x10 
86,86,188,compression,sigma c79900 ,")raw files only opens with horrible slow sigma pro software (i got away from the processing of raw files and love the jpegs from x100s)if you print up to 20 x 30 you may not find much of any difference between x100s (you always get it right) and sigma (if you get it right) (may be in crop it might stand better)not good above 400 iso (except you can make decent bw prints with higher iso in nik)priceybottom line:i am in  love with my x100s all over again, what a brillant camera.",CS,P,fujifilm x10 
87,87,189,compression,sigma c79900 ,i am actually selling the prints off the x100s native jpeg files.i would wait for this to evolve and will look into this again in a couple of years when they address issueswish list:ovfgrippy finish and make it less scratch pronefaster processorbetter isobetter / bigger batterymore pocketabledefinitely needs a better raw processor or better lightroom support for raw files,CS,P,fujifilm x10 
88,88,190,compression,sony a (alpha) slt-a65v (a65),"nothing in the subframe aps-c market will outresolve the a65 in fair to decent light - or provide better video.low light problems?although the recent digital photography review (the closest thing to a definitive source on digital cameras on the web) slammed the alpha 77 (same sensor and basic image engine as the a65) for its high noise particularly in raw, and its somewhat 'mushy' jpeg rendering, i generally agree, but think some clarifications are called for.",CS,P,sony a65 
89,89,196,compression,sony a7,"the olympus m43 jpegs are also very nice as long as you're not shooting under extreme conditions.image quality on the whole is excellent, standing up to comparison with my d800, with files only two-thirds the size.",CS,P,nikon d80
90,90,198,compression,sony a77,"if they improve the jpeg engine with firmware like they did with the a700, i may never use raw.and then there is the movie mode...up to 28mbs 1080p60 recording with full-time autofocus or manual focus assisted with peaking...the features and combination of features fills a 240 page manual and rather than plod through them here ad nauseum, i'm going to go enjoy the rush of photographic inspiration that always comes with a shiny new tool!down the rabbit hole...?is the slt design with a high-quality electronic viewfinder the wave of the future?",CS,P,sony a7
91,91,199,compression,sony a77,"(using regular sony prime lenses and the 16-50mm kit lens)the main focus-low light performance (jpegs)usually i barely shoot at iso 1600-3200, because i get to use more of continuous lighting mounted on the hot shoe when shooting in extreme low light.and thank goodness for the oled and slt technology, i shoot with ease, you know what you are getting instantly!part of the reasons people experience noise even at low isos is failure for the camera to focus properly, even with the nikon d600/d700- my brother has them and i compare them a loti have shot images at iso 1250 to 2500 and the images are sharp,(might not be as sharp as the nikon full-frames but barely noticeable), just be sure to have adequate light signal to focus correctly, and in worst case scenario, i just remove the chroma noise in post production and images get clean back.mind you, i always keep the noise reduction on high, probably the new firmware has something to do with it?",CS,P,nikon d60 
92,92,200,compression,sony a77,"am not sure but so far am impressed having heard about all the slt noise stories, this new a77 is an exception.i will see if i can upload some straight jpegs from this camera at high isos.just be sure to understand and use the camera correctly.",CS,P,sony a7
93,93,201,compression,sony a77,"i will note that i also prefer the nikon d300s noise reduction to the sony noise reduction, especially when shooting jpegs.the current pricing (about $600 less than when first launched) combined with build quality and availability of a wide range of lenses (minolta and sony)  makes this camera a very good buy for someone stepping up from point and shoot (typical sub $200 compact camera) or advanced point and shoot (think nikon p7700).final note:  i am a very heavy user of the nikon creative lighting system.",CS,P,canon powershot d30 waterproof digital camera
94,94,202,compression,sony a7r full-frame,"at lower isos and in fairly good light i have gotten some drop dead gorgeous jpeg files from this a7r by the way..i had purchased the a7 first...and it's a fine camera too but it's output just didn't wow me as the a7r does, it's just that simple, and why i wanted something just a little bit better as to detail and pop in the iq..i felt my rx1r's iq bested the a7 ever so slightly.",CS,P,sony a7
95,95,204,compression,sony alpha slt-a57 ,"thus, below is just a few of the bigger nits i've picked after playing with this system for 1.5 months and comparing to nikon 5100, nikon 600, canon t3i and t4i, pentax k30.the jpeg engine is a joke relative to its peers, even relative to cheap p&s; cams in my estimation and there hv been a ton of complaints on the web from both pros and amateurs on this aspect but sony appears to do little to address it, if its done anything at all.",CS,N,canon eos rebel t3 
96,96,205,compression,sony alpha slt-a57 ,i read that the contrast and colors are much nicer + low light is better in a57 vs a65 - mainly because of jpeg processing improvements.,CS,P,sony a65 
97,97,206,compression,sony alpha slt-a57 ,"as with all slrs, i recommend shooting in raw+jpeg mode, which means having a large card available.everything i've mentioned so far applies to both the a55 and a57.",CS,P,sony a55 
98,98,207,compression,sony cyber-shot dsc-hx30v ,"- however, the wifi upload will compress the pictures to 2mp resolution!- face detect works really well and there is a also a self-timer to shoot 2 seconds after a one/two faces are detected; it can detect up to 8 faces to correctly focus/set correct exposure on them.- digital leveler (so that you know your composition is perfectly horizontal and not tilted)- good macro- in playback video mode, i do like that you can use the wheel dial to fast forward/rewind frame by frame and fast forward up to 4xwith the sony hx30v, in playback mode, you can zoom out 3 times; if you zoom out once, it'll display 4x4 rows of thumbnail pictures (16 pictures); zooming out again will display 5x5 (25 thumbnails); zooming out a third time will show a nice calendar display where you can easily select the date/album of the pictures.with the canon s100, playback will display 2x2 (4 thumbnails), 3x3 (9 thumbnails), 6x6 (36 thumbnails), 10x10 (100 thumbnails) and using the custom front ring allows one to jump between dates(but no calendar display like on the sony)the canon is able to display the thumbnails much faster than the sony.cons:============================================================- 18mp hurts the quality (the s100 has better detail)- although 1080 resolution and smoother frame rates, the colors and detail seem rather faded compared to s100- does not seem to have a trim/combine video editing feature in playback mode (you can with the s100)- no manual whatsoever for video recording (s100, you can lock the focus before recording)- no aperture/shutter priority manual control- no custom self-timer setting; max is 10 seconds or 2 seconds.",CS,P,
99,99,208,compression,sony cyber-shot dsc-hx9v,"compared to my old canon sx1 is, which uses the less-compressed .mov format (which is still my reference camera for audio quality), the sound quality is definitely inferior.",CS,N,canon powershot sx1
100,100,211,compression,sony cyber-shot dsc-wx150,"unfortunately, there is no way to set the quality of the photo or the amount of jpeg compression (like you can on thecanon powershot sx130is 12.1 mp digital camera), so if you want to shoot extremely high-quality images for any reason, this camera won't work for you.",CS,P,canon powershot sx130
101,101,212,compression,sony dsc-rx1/b ,i shoot only in jpeg and the quality when compared to the sony a65 is incomparable.,CS,N,sony a65 
102,102,213,compression,sony dsc-rx1/b ,"i've been shooting the rx1 for a day now since it arrived and have been looking for a reason to send it back.i sold my nikon d700 and lenses simply due to size and weight as i travel a lot for work and this is a hobby.i made the change to the fuji x-pro1 and picked up the primes they had available and loved the quality of the jpegs and the lighter smaller overall kit.but then that started to feel bulky so in came the x100 which is a great camera no matter if it is your only camera or one of many.then the x-e1 showed up roughly the same size as the x100 but with guts of the x-pro1 minus the ovf.then i realized i had simply traded my huge nikon kit for a somewhat smaller one that came with many trade-offs you'll know all about if you are a fuji-shooter.then this piece of insanity got announced and i couldn't stop thinking about having basically a d600 sensor in a camera smaller than my x100.so it showed up yesterday and i have been walking around the house and yard with the x-e1 with the 35mm 1.4 and the rx1 taking the same pictures in the same mode and comparing them.there is simply no comparison.no need to zoom in or 'pixel-peep' to see the difference that a ff sensor brings.every picture is just so much richer.depending on your point of view, it is either a bargain or over-priced.for me it is definitely not going back while my fuji-kit now moves on to ebay.this is a leica m with af in an even smaller package at a 1/4 the cost of an m with a 35mm lens.this is the camera i wanted all along.can't wait for the case and evf now.",CS,P,
103,103,214,compression,sony dsc-rx100/b ,"my brother has the canon s100 so i've played with it a few times.this sony has many limitations compared to other camera's in the same class, but what separates it from them is its image quality at the wide end.zooming in at 100%, raws come out noticeably batter than jpegs.i did a crazy comparison where i shot my eye with the sony using flash at the wide end stopping down at f5 and setting the iso at 80 and compared the shot with another one taken with my 5d mk iii using the canon 24-70 @ 70mm, iso 50, f8 and a 430ex (i had three trials until i nailed the focus right since it's so hard to hold the whole setup and shoot myself).",CS,N,canon eos 5d
104,104,215,compression,sony dsc-rx100/b ,"i personally think they got a good balance between grip and style, because if they had added any more grip it would have ruined that nice sleek design it has, for example if you take a look at thesony cyber-shot dsc-hx20v, you will see it has a huge grip which whilst gives maximum grip it does overwhelm the side of the camera.included in the box are the following:camera | ac adapter | battery pack | micro usb cable | wrist strap | two shoulder strap adapters | manual.things you need:sdhc card(you can choose a different brand/memory capacity, though do remember as this is a 20mp camera, files sizes average around 5mb if your using jpeg in fine detail, or is around 20mb if using the raw format (raw image has a '.arw' file extension)).optional:camera case (lcj-rxa)|usb sdhc card reader|spare battery np-bx1|hdmi - micro hdmi cable|anti-reflective screen protector- - -the main thing i love about this camera is it has modes which are great for people who don't have a lot of knowledge about cameras and just want to point and shoot whilst getting great results, and there are modes for those who know more about cameras and want to go more in-depth with the settings.the modes which i personally think are great for those with limited camera knowledge, i would suggest using the mode dial located on top of the camera to choose one of the following:1) superior auto; ""this device beautifully shoots automatically while reducing blurring and noise"".my opinion: i've always had great results with this mode, on most occasions it takes the picture i want it to, though sometimes you may want select a mode in the scene setting to get a little bit extra.- - -2) intelligent auto; ""automatically identifies the scene's characteristics and shoots a photo"".my opinion: pretty much the same scenario with the superior auto, it takes fantastic shots most of the time, though i haven't really noticed the difference between both of them, this may be because i haven't had the chance to test them in many varied locations.- - -3) scene selection; here you can select different pre-setting modes to get the most out of certain scenarios:- portrait; ""emphasizes subject by blurring away background.",CS,P,sony cyber-shot dsc-hx20v 
105,105,216,compression,sony dsc-rx100/b ,"but if you have a very large hands it may be too small for you.- auto mod: sony is better, colors and sharpness are very good in jpeg, did not feel a need for rawmy conclusion:  g1x will be listed on ebay shortly.",CS,P,canon powershot g1 x 
106,106,218,compression,sony nex-5n,i simply cannot risk missing my return option to only find out later that sony does not fix the issue with this body.pros..exceptional iq >jpegs from camera match the 7d iq in most situations including high iso.,CS,N,canon eos 7d 
107,107,220,compression,sony nex-6/b,"jpeg's are the way these lenses are designed to be used, so that's how they should be evaluated, as part of the whole camera.results at iso 3200:- nikon d600 (full frame) gave the nicest image, as we should certainly expect for the sensor size, camera size and weight, and cost.",CS,P,nikon d60 
108,108,221,compression,sony nex-7,"but with jpegs it was the other way; at both high and low iso, the nex-7 images were distinctly superior to the nikon in clarity and punch.",CS,P,sony nex-7
109,109,222,compression,fujifilm x-s1 ,and lr3 doesn't support the x-s1 raf files so .jpegs it is for now.i finally decided to try the x-s1 and the only area where the s100fs betters the x-s1 is in pure visible resolution at iso 100-200.,CS,P,canon powershot s100 
110,110,223,compression,fujifilm xq1,"i so much wanted to like this fuji xq1 but have returned mine:pros:* excellent low light auto-focus* pocketable but lens ring protrudes and size was larger than i expected, closer to a sony rx100 than a canon s120* good jpeg color and range of film simulations, but pictures were a little oversharp for my taste - this can be adjustedcons:* battery life worse than x20 (which many thought was already extremely poor).",CS,N,canon powershot s120
111,111,224,compression,fujifilm xq1,"i so much wanted to like this fuji xq1 but have returned mine:pros:* excellent low light auto-focus* pocketable but lens ring protrudes and size was larger than i expected, closer to a sony rx100 than a canon s120* good jpeg color and range of film simulations, but pictures were a little oversharp for my taste - this can be adjustedcons:* battery life worse than x20 (which many thought was already extremely poor).",CS,N,fujifilm x20 
112,112,225,compression,fujifilm x10 ,"while the x20 enjoys a small resolution advantage in raw files, i found that its jpegs were not even close to the excellent quality jpegs produced by the x10.",CS,P,fujifilm x10 
113,113,226,compression,fujifilm x20 ,"there are said to be about fifty improvements that have been made, but in all fairness, i won't get into a fuji x20 vs. x10 comparison here, as my experience with the earlier model was limited to just a few days use.getting right down to the subjective points, followed with a more detailed look based on personal use, here are my basic observations.&#9670; pros:+ excellent retro design; solid build quality coupled with good contemporary ergonomics+ sharp 4x optical zoom; comfortable 28mm to 112mm f/2.0- f/2.8 equivalent, image stabilization+ has a 7-blade aperture diaphragm; contributes to excellent bokeh effects+ exr processor ii dual cpus; cold start-up time about  second, super-fast sequential shooting+ near-instant autofocus; virtually no time lag when the shutter button is pressed+ new 2/3-inch x-trans cmos ii sensor; 12mp, offers excellent image quality+ hybrid af; autofocus instantly switches between high-speed phase detection af and contrast af+ front focus selector dial; af-s (single autofocus), mf (manual), af-c (continuous autofocus) modes+ advanced ovf; optical viewfinder offers exposure info overlay via digital trans panel, 85% coverage+ 2.8-inch color lcd monitor; approximately 460,000 dots, 100% coverage+ excellent ergonomics; rational array of controls, easy to master+ rechargeable np-50 li-ion battery; averages 190 - 220 shots per charge depending on settings, actual+ full manual exposure plus program, aperture- and shutter priority modes and more+ uses readily-available sd, sdhc and sdxc memory cards; full support+ raw (raf format) support; also offers jpeg and raw+jpeg+ iso range is 100-12800 (in auto); control available up to iso 3200+ excellent ergonomics; raised grip area on the body with a thumb rest, add to handling+ threaded socket on shutter button; allows for threaded cable releases, soft shutter buttons+ made in japan; all of fujifilm's x-series cameras are made in japan+ built-in advanced filters; allow a choice of 8 artistic effects&#9670; cons:- battery life could be far better- wish this camera would go to 24mm wide angle- picky point: the x20 lacks a built-in neutral density filter&#9670; first impressions:the x20 came well packaged in a distinctive black box, and from the moment it was opened and taken out, the feel of a solid, precision camera was quite apparent.",CS,P,fujifilm x10 
114,114,227,compression,fujifilm x100s,i prefer the x100s over the 7d for:image quality (the reviews are correct; sooc jpegs are fantastic.,CS,P,canon eos 7d 
115,115,228,compression,sony dsc-rx1/b ,"i've been shooting the rx1 for a day now since it arrived and have been looking for a reason to send it back.i sold my nikon d700 and lenses simply due to size and weight as i travel a lot for work and this is a hobby.i made the change to the fuji x-pro1 and picked up the primes they had available and loved the quality of the jpegs and the lighter smaller overall kit.but then that started to feel bulky so in came the x100 which is a great camera no matter if it is your only camera or one of many.then the x-e1 showed up roughly the same size as the x100 but with guts of the x-pro1 minus the ovf.then i realized i had simply traded my huge nikon kit for a somewhat smaller one that came with many trade-offs you'll know all about if you are a fuji-shooter.then this piece of insanity got announced and i couldn't stop thinking about having basically a d600 sensor in a camera smaller than my x100.so it showed up yesterday and i have been walking around the house and yard with the x-e1 with the 35mm 1.4 and the rx1 taking the same pictures in the same mode and comparing them.there is simply no comparison.no need to zoom in or 'pixel-peep' to see the difference that a ff sensor brings.every picture is just so much richer.depending on your point of view, it is either a bargain or over-priced.for me it is definitely not going back while my fuji-kit now moves on to ebay.this is a leica m with af in an even smaller package at a 1/4 the cost of an m with a 35mm lens.this is the camera i wanted all along.can't wait for the case and evf now.",CS,P,fujifilm x-e1 
116,116,229,compression,sony dsc-rx1/b ,"i've been shooting the rx1 for a day now since it arrived and have been looking for a reason to send it back.i sold my nikon d700 and lenses simply due to size and weight as i travel a lot for work and this is a hobby.i made the change to the fuji x-pro1 and picked up the primes they had available and loved the quality of the jpegs and the lighter smaller overall kit.but then that started to feel bulky so in came the x100 which is a great camera no matter if it is your only camera or one of many.then the x-e1 showed up roughly the same size as the x100 but with guts of the x-pro1 minus the ovf.then i realized i had simply traded my huge nikon kit for a somewhat smaller one that came with many trade-offs you'll know all about if you are a fuji-shooter.then this piece of insanity got announced and i couldn't stop thinking about having basically a d600 sensor in a camera smaller than my x100.so it showed up yesterday and i have been walking around the house and yard with the x-e1 with the 35mm 1.4 and the rx1 taking the same pictures in the same mode and comparing them.there is simply no comparison.no need to zoom in or 'pixel-peep' to see the difference that a ff sensor brings.every picture is just so much richer.depending on your point of view, it is either a bargain or over-priced.for me it is definitely not going back while my fuji-kit now moves on to ebay.this is a leica m with af in an even smaller package at a 1/4 the cost of an m with a 35mm lens.this is the camera i wanted all along.can't wait for the case and evf now.",CS,P,nikon d60 
117,117,230,compression,canon eos rebel t3i ,"its aps-c size sensor creates an effective 1.6x field of view (compared to 35mm format).t2i vs t3i18.0 megapixel cmos (aps-c) sensor and digic 4 image processor for high image quality and speed.iso 100-6400 (expandable to 12800) for shooting from bright to dim light.improved eos movie mode with manual exposure control, expanded recording, new movie crop recording in 640 x 480 and external microphone in terminal for access to improved sound quality.enhanced ifcl 63-zone, dual-layer metering system; and 9-point af system utilizing a high-precision, f/2.8 cross-type center point.wide 3.0-inch (3:2 aspect ratio) clear view lcd monitor (1.04 million dots) for improved viewing.new quick control screen button for easy access to frequently used settings.improved layout with dedicated live view/movie shooting button.new compatibility with sdxc memory cards, plus new menu status indicator for eye-fi* support.3.7 fps continuous shooting up to approximately 34 jpegs or approximately 6 raw.compatible with the full line of canon ef and ef-s lenses.the eos rebel t2i has an 18.0 megapixel cmos (complementary metal oxide semiconductor) sensor that captures images with exceptional clarity and tonal range and offers more than enough resolution for big enlargements or crops.",CS,P,canon eos rebel t3 
118,118,231,compression,canon eos rebel t3i ,"its aps-c size sensor creates an effective 1.6x field of view (compared to 35mm format).t2i vs t3i18.0 megapixel cmos (aps-c) sensor and digic 4 image processor for high image quality and speed.iso 100-6400 (expandable to 12800) for shooting from bright to dim light.improved eos movie mode with manual exposure control, expanded recording, new movie crop recording in 640 x 480 and external microphone in terminal for access to improved sound quality.enhanced ifcl 63-zone, dual-layer metering system; and 9-point af system utilizing a high-precision, f/2.8 cross-type center point.wide 3.0-inch (3:2 aspect ratio) clear view lcd monitor (1.04 million dots) for improved viewing.new quick control screen button for easy access to frequently used settings.improved layout with dedicated live view/movie shooting button.new compatibility with sdxc memory cards, plus new menu status indicator for eye-fi* support.3.7 fps continuous shooting up to approximately 34 jpegs or approximately 6 raw.compatible with the full line of canon ef and ef-s lenses.the eos rebel t2i has an 18.0 megapixel cmos (complementary metal oxide semiconductor) sensor that captures images with exceptional clarity and tonal range and offers more than enough resolution for big enlargements or crops.",CS,P,canon eos m 
119,119,232,compression,canon eos rebel t4i ,"in fact, both cameras have exactly the same buffer (internal memory) capacity for raw images (6), while the t3i has a superior buffer capacity for .jpegs (34 compared to 30 for the new t4i).",CS,P,canon eos rebel t3 
120,120,233,compression,canon eos rebel t4i ,"the major difference is that the t5i features an upgraded 18-55 stm kit lens; choose this t4i alone or with the 18-135 if it costs less.model evolution:==== t1i:15 mp9-point af w/ 1 cross-point3.4 fps11 raw burst1080p/20, 720p/301/4000 max shutter==== t2i:+ 18 mp+ 3.7 fps+ 1080p/30, 720p/60+ movie crop zoom, 7x vga+ lcd sharper+ metering improved+ auto-iso improved-- 6 raw burst==== t3i:+ lcd articulates+ movie crop zoom, 3x 1080p+ jpeg adjustments & scene modes==== t4i:+ 9-point af w/ 9 cross-points+ hybrid af for video+ 5 fps+ touchscreen+ stereo mic+ multi-shot noise reduction+ automated 3-shot hdr-- no movie crop zoom==== t5i:+ 360-degree mode dial+ jpeg effects in live view+ 18-55 kit zoom w/ stm focus==== 60d:+ 5.3 fps+ 16 raw burst+ thumb-dial+ af-on button+ top-panel lcd+ mode dial lock+ viewfinder bigger, brighter+ 1/8000 max shutter+ battery life doubled-- no touchscreen-- no hybrid af for video-- no multi-shot noise reduction-- no automated hdr-- mono mic-- non-stm 18-135 kit lenshandling:all rebels have three handling characteristics: small grips (for a dslr), an emphasis on buttons over dials, and many functions intended to be used with the camera away from your face.those with petite hands may appreciate the small size.",CS,P,canon eos rebel t5 
121,121,234,compression,canon eos rebel t4i ,"the major difference is that the t5i features an upgraded 18-55 stm kit lens; choose this t4i alone or with the 18-135 if it costs less.model evolution:==== t1i:15 mp9-point af w/ 1 cross-point3.4 fps11 raw burst1080p/20, 720p/301/4000 max shutter==== t2i:+ 18 mp+ 3.7 fps+ 1080p/30, 720p/60+ movie crop zoom, 7x vga+ lcd sharper+ metering improved+ auto-iso improved-- 6 raw burst==== t3i:+ lcd articulates+ movie crop zoom, 3x 1080p+ jpeg adjustments & scene modes==== t4i:+ 9-point af w/ 9 cross-points+ hybrid af for video+ 5 fps+ touchscreen+ stereo mic+ multi-shot noise reduction+ automated 3-shot hdr-- no movie crop zoom==== t5i:+ 360-degree mode dial+ jpeg effects in live view+ 18-55 kit zoom w/ stm focus==== 60d:+ 5.3 fps+ 16 raw burst+ thumb-dial+ af-on button+ top-panel lcd+ mode dial lock+ viewfinder bigger, brighter+ 1/8000 max shutter+ battery life doubled-- no touchscreen-- no hybrid af for video-- no multi-shot noise reduction-- no automated hdr-- mono mic-- non-stm 18-135 kit lenshandling:all rebels have three handling characteristics: small grips (for a dslr), an emphasis on buttons over dials, and many functions intended to be used with the camera away from your face.those with petite hands may appreciate the small size.",CS,P,canon eos rebel t1i 
122,122,235,compression,canon eos rebel t4i ,"the major difference is that the t5i features an upgraded 18-55 stm kit lens; choose this t4i alone or with the 18-135 if it costs less.model evolution:==== t1i:15 mp9-point af w/ 1 cross-point3.4 fps11 raw burst1080p/20, 720p/301/4000 max shutter==== t2i:+ 18 mp+ 3.7 fps+ 1080p/30, 720p/60+ movie crop zoom, 7x vga+ lcd sharper+ metering improved+ auto-iso improved-- 6 raw burst==== t3i:+ lcd articulates+ movie crop zoom, 3x 1080p+ jpeg adjustments & scene modes==== t4i:+ 9-point af w/ 9 cross-points+ hybrid af for video+ 5 fps+ touchscreen+ stereo mic+ multi-shot noise reduction+ automated 3-shot hdr-- no movie crop zoom==== t5i:+ 360-degree mode dial+ jpeg effects in live view+ 18-55 kit zoom w/ stm focus==== 60d:+ 5.3 fps+ 16 raw burst+ thumb-dial+ af-on button+ top-panel lcd+ mode dial lock+ viewfinder bigger, brighter+ 1/8000 max shutter+ battery life doubled-- no touchscreen-- no hybrid af for video-- no multi-shot noise reduction-- no automated hdr-- mono mic-- non-stm 18-135 kit lenshandling:all rebels have three handling characteristics: small grips (for a dslr), an emphasis on buttons over dials, and many functions intended to be used with the camera away from your face.those with petite hands may appreciate the small size.",CS,P,canon eos rebel t4i 
123,123,236,compression,canon eos rebel t4i ,"the major difference is that the t5i features an upgraded 18-55 stm kit lens; choose this t4i alone or with the 18-135 if it costs less.model evolution:==== t1i:15 mp9-point af w/ 1 cross-point3.4 fps11 raw burst1080p/20, 720p/301/4000 max shutter==== t2i:+ 18 mp+ 3.7 fps+ 1080p/30, 720p/60+ movie crop zoom, 7x vga+ lcd sharper+ metering improved+ auto-iso improved-- 6 raw burst==== t3i:+ lcd articulates+ movie crop zoom, 3x 1080p+ jpeg adjustments & scene modes==== t4i:+ 9-point af w/ 9 cross-points+ hybrid af for video+ 5 fps+ touchscreen+ stereo mic+ multi-shot noise reduction+ automated 3-shot hdr-- no movie crop zoom==== t5i:+ 360-degree mode dial+ jpeg effects in live view+ 18-55 kit zoom w/ stm focus==== 60d:+ 5.3 fps+ 16 raw burst+ thumb-dial+ af-on button+ top-panel lcd+ mode dial lock+ viewfinder bigger, brighter+ 1/8000 max shutter+ battery life doubled-- no touchscreen-- no hybrid af for video-- no multi-shot noise reduction-- no automated hdr-- mono mic-- non-stm 18-135 kit lenshandling:all rebels have three handling characteristics: small grips (for a dslr), an emphasis on buttons over dials, and many functions intended to be used with the camera away from your face.those with petite hands may appreciate the small size.",CS,P,canon eos rebel t2i 
124,124,237,compression,canon eos rebel t4i ,"the major difference is that the t5i features an upgraded 18-55 stm kit lens; choose this t4i alone or with the 18-135 if it costs less.model evolution:==== t1i:15 mp9-point af w/ 1 cross-point3.4 fps11 raw burst1080p/20, 720p/301/4000 max shutter==== t2i:+ 18 mp+ 3.7 fps+ 1080p/30, 720p/60+ movie crop zoom, 7x vga+ lcd sharper+ metering improved+ auto-iso improved-- 6 raw burst==== t3i:+ lcd articulates+ movie crop zoom, 3x 1080p+ jpeg adjustments & scene modes==== t4i:+ 9-point af w/ 9 cross-points+ hybrid af for video+ 5 fps+ touchscreen+ stereo mic+ multi-shot noise reduction+ automated 3-shot hdr-- no movie crop zoom==== t5i:+ 360-degree mode dial+ jpeg effects in live view+ 18-55 kit zoom w/ stm focus==== 60d:+ 5.3 fps+ 16 raw burst+ thumb-dial+ af-on button+ top-panel lcd+ mode dial lock+ viewfinder bigger, brighter+ 1/8000 max shutter+ battery life doubled-- no touchscreen-- no hybrid af for video-- no multi-shot noise reduction-- no automated hdr-- mono mic-- non-stm 18-135 kit lenshandling:all rebels have three handling characteristics: small grips (for a dslr), an emphasis on buttons over dials, and many functions intended to be used with the camera away from your face.those with petite hands may appreciate the small size.",CS,P,canon eos 60d 
125,125,238,compression,samsung tl350 ,"while they each had their advantages, the tl350 had the best bang for the buck.let's look at the specs that matter for video on all these cameras - they all have manual control over exposure, shutter speed, aperture, white balance, and iso, so i'm skipping that:canon s95- 1/1.7"" ccd- 28-105mm- f/2.0-f/4.9- mpeg-4/h.264 .mov- stereo linear pcm audio- 1280x720 @ 24fpspanasonic lx5- 1/1.63 ccd- 24-90mm- f/2.0-f/3.3- avchd lite/mjpeg- dolby audio- 1280x720 @ 30fpscasio fh100- 1/2.3 cmos- 24-240mm- f/3.2-f/5.7- avi/mjpeg- ima-adpcm stereo audio- 1280x720 @ 30fpssamsung tl350- 1/2.4 cmos- 24-120mm- f/2.4-f/5.8- mpeg-4/h.264- aac, wav stereo audio- 1920x1080 & 1280x720 @ 30fpshere's why the samsung tl350 is the best:(1) price.",CS,P,canon powershot s95 
126,126,239,compression,sony alpha slt-a57 ,"thus, below is just a few of the bigger nits i've picked after playing with this system for 1.5 months and comparing to nikon 5100, nikon 600, canon t3i and t4i, pentax k30.the jpeg engine is a joke relative to its peers, even relative to cheap p&s; cams in my estimation and there hv been a ton of complaints on the web from both pros and amateurs on this aspect but sony appears to do little to address it, if its done anything at all.",CS,N,canon eos rebel t4i 
127,127,240,compression,sony dsc-w370,"if you're in love with the idea of a reasonably priced camera with a 7x optical zoom in a compact body, the w370 is worth checking out, but it's not without sacrifice.key specs sony cyber-shot dsc-w370dimensions (whd) 3.9x2.2x1 inchesweight (with battery and media) 6.3 ouncesmegapixels, image sensor size, type 14 megapixels, 1/2.3-inch ccdlcd size, resolution/viewfinder 3-inch lcd, 230k dots/nonelens (zoom, aperture, focal length) 7x, f3.6-5.6, 34-238mm (35mm equivalent)file format (still/video) jpeg/mpeg-4 (.mp4)highest resolution size (still/video) 4,320x3,240 pixels/1,280x720 at 29.97fps (progressive)image stabilization type optical and digitalbattery type, cipa rated life lithium ion rechargeable, 230 shotsbattery charged in camera no, external charger suppliedstorage media memory stick pro duo, sd, sdhcbundled software picture motion browser 5.0 (windows), pmb portable 1.1 (windows, mac)the camera is available in silver--actually more of gun-metal gray; red; and green versions, all have chrome trim on the top and right side, and the w370's body is compact enough to squeeze in most pants pockets or handbags.",CS,P,fujifilm finepix real 3d w3
128,128,242,compression,fujifilm finepix s1 ,"however, looking at the images people have produced with the canon sx50 and panasonic fz70 on user-forums like dpreview, it makes me wonder whether some of the s1's competition could be doing a better job with their small-sensor jpeg image processing, and that's worth thinking about.",CS,P,canon powershot sx20
