,level_0,index,Unnamed: 0,Unnamed: 0.1,FeatureName,FeatureID,teamID,ReviewID,asin,title,Sentence,CS_SS,p/n
218,371,371,167,167,compression,20,13,3625118,B003VYB1KK,Fujifilm FinePix F300EXR ,"To accomplish this, obviously both cameras must be adding some sorts of annotations to all JPEGs they produce which indicate whether the shot was taken horizontally or vertically.",CS,P
219,373,373,400,400,compression,20,13,4150915,B004HO58KM,Fujifilm FinePix F500EXR ,"Maybe it just tries to supplement the ambient light, but there is no way to do EV compensation with the flash.I don't know if the F550 or F600's jpeg engine is any better.This would have been a pretty good P&S; had the image quality been better.",CS,P
220,378,378,405,405,compression,20,13,4150985,B004HO58KW,Fujifilm FinePix F550EXR ,"I believe Fujifilm F550 does have better ""JPEG"" compression engine than Panasonic.",CS,P
221,381,381,2024,2024,compression,20,11,7016815,B00B46XSDK,Fujifilm FinePix F900EXR,"I took a class in Photoshop recently and the instructor explained the advantages of a raw file and said that all pros should shoot in raw.If you want to know about the raw file format and why I wanted this camera, just search on raw vs jpeg.I'm not a pro but I did want to have the flexibility that a raw file offered.",CS,P
222,382,382,2476,2476,compression,20,1,7016824,B00B46XSDK,Fujifilm FinePix F900EXR,"Jpeg quality is good, in fact, it seems better than RAW oddly enough.",CS,P
223,384,384,2478,2478,compression,20,1,7016838,B00B46XSDK,Fujifilm FinePix F900EXR,"The full 16mp raw might be worth a look for good light and very low ISO levels, but in most cases stick to half resolutionThe jpegs will be quite good enough, and even in low light the results will be decentEXR mode can be useful, you can leave this on auto (it picks what it thinks it best) but I would suggest setting it again to &#34;Dynamic range&#34;.",CS,P
224,385,385,2479,2479,compression,20,1,7016838,B00B46XSDK,Fujifilm FinePix F900EXR,"If you use the full resolution 16mp then the camera has to increase the ISO level (with worse image quality) to improve the dynamic range.Signal to noise works in a similar way to the dynamic range mode, but I've yet to see any obvious advantage in most cases even in low light DR mode works well (S/N mode doesn't take 2 exposures though it combines the 2 sets of images taken at the same time and makes a smaller image) It's worth experiementing a bit though.You can't shoot raw in EXR mode, just jpeg.",CS,P
225,390,390,421,421,compression,20,13,4151693,B004HO58OI,Fujifilm FinePix HS20,"I really did not like the build quality (at least of my copy), found the RAW vs Jpeg processing too slow (and in comparison to the XZ-1, much too slow), and the images I got from that camera (at least for me) do not compare to the XZ-1.",CS,N
226,391,391,407,407,compression,20,13,4151521,B004HO58OI,Fujifilm FinePix HS20,"The straight out of box JPEG gives good color, fine detailed, good DR, etc (Of course you need to change some settings first).",CS,P
227,394,394,411,411,compression,20,13,4151531,B004HO58OI,Fujifilm FinePix HS20,"I found that generally it was ready almost instantly shooting JPEG and with RAW, there might be a second or two delay for an individual image.",CS,P
228,395,395,413,413,compression,20,13,4151581,B004HO58OI,Fujifilm FinePix HS20,"All that said, even this camera won't prevent me from taking a bad picture, but Of 322 shots I took in my Manhattan walking tour, only one was a throwaway.Two extremely nice features are 1) Three(3) film-type settings to allow for Vivid (Velvia) STD(Provia) and Sepia allow for some creativity and 2) Jpeg and Jpeg Fine are great options to have in choosing picture characteristics.",CS,P
229,397,397,416,416,compression,20,13,4151676,B004HO58OI,Fujifilm FinePix HS20,"The camera generated JPEGS were OK - could be better (see additional comment below).When taking a picture - your framed shot looks fantastic in the LCD viewfinder - however, as soon as you take the picture, the picture shown in the LCD looks much worse.",CS,P
230,399,399,418,418,compression,20,13,4151676,B004HO58OI,Fujifilm FinePix HS20,"There should be a ""Super Fine"" setting - that would save at about 12MB file size for 16M Pixel shots and 6MB for 8 M Pixel shots.. Until then; recommend you shoot RAW - use SilkyPix to convert to TIFF and then use your favorite JPEG builder to work those TIFFs (once SilkyPix converts the RAW to TIFF - the format can be read by any decent program - the original RAW pictures are Fuji proprietary format - yuk!",CS,P
231,400,400,419,419,compression,20,13,4151693,B004HO58OI,Fujifilm FinePix HS20,"Jpegs come out quite decent, and that's good, cause shooting in RAW is so much slower.",CS,P
232,401,401,1031,1031,compression,20,12,5475057,B006T7QSVS,Fujifilm FinePix HS30,Actually able to shoot 60x handheld due to great Image Stabilization (IS).Focus is faster and more accurate than the HS-20.Electronic level works great and is very useful for landscapes.Intelligent sharpness works well.JPEG enhancement is excellent and usually beats my ability to process RAW files.Bad:Awful manual.,CS,P
233,402,402,1032,1032,compression,20,12,5475084,B006T7QSVS,Fujifilm FinePix HS30,"I will state the pros and cons of this camera over my previous HS10 and SX40 cameras.PROS- Better IQ, Dynamic Range.- Smoother manual zoom and manual focus ring.- Improved placement of built-in Flash- Much faster AF.- Much faster STS times, write times(especially on RAW+JPEG), shorter lag.- Much better EVF and LCD.- Real-time Intelligent zoom is now available unlike before where it shows useless box in HS10.",CS,P
234,403,403,2002,2002,compression,20,11,6955416,B00ATM1NBY,Fujifilm FinePix HS35,"After comparing some other cameras, I stumbled upon the HS35EXR, which seemed like a fairly good deal.PROS:-Manual Zoom-Adjustable ISO, f-stop, exposure time-Quick autofocus-Shoots in RAW, RAW+JPEG-Shoots 30fps 1080p videoCONS:-Autofocus can act up when recording a video and your subject is moving-No external microphone port (only a problem if you plan on using this for video)-Flash casts a shadow (more on this later)-Pictures appear to be overexposed/too bright by defaultAs soon as I received my camera in the mail, I started it up, went through the date/time setup and started taking pictures.",CS,P
235,405,405,1951,1951,compression,20,11,6954656,B00ATM1MGA,Fujifilm FinePix HS50,Filters good.- Noise adjustment level for JPEG.- Great hand held stability.- Focus speed ok and real fast if using smaller file size.- Macro feature fun but not a mainstream feature: Being one inch or less from object create light issues.MINUS- The small sensor size is as expected the biggest trade-off.- Noisy jpeg if you chop image or use at low light.- Detail level is not what you expect of macro shots due to sensor size.RAW ARW files are about 20Mb.,CS,P
236,406,406,1953,1953,compression,20,11,6954667,B00ATM1MGA,Fujifilm FinePix HS50,"This allows for faster shutter speeds and better IQ when shooting at the longer end of the zoom range.- There are tons of ""pro"" features on this bridge camera - aperture priority, shutter priority, full manual, manual zoom (which I personally prefer to a motorized zoom), one shot or continuous autofocus, manual focus, selectable ISO, RAW format and/or JPEG, etc.- Fuji's ""EXO"" mode is capable of salvaging decent shots out of horrid conditions (bad lighting, etc).My main concern is about the sensor and resulting picture quality - with a sensor 1/10 the area of the one in the Canon 7D you are going to see a bit lower IQ when you closely look at the images, esp.",CS,P
237,408,408,1957,1957,compression,20,11,6954717,B00ATM1MGA,Fujifilm FinePix HS50,"I also like to shoot textures close-up, and keep a folder of them, some of which I'll use in Photoshop to create special effects.You can shoot either JPEG or RAW files - and you can also set it up to record both a RAW file and a JPEG file of every shot, though doing that means it takes a bit longer to be ready for the next shot.",CS,P
238,413,413,709,709,compression,20,12,3705058,B003ZHV70M,Fujifilm FinePix Real 3D W3,"I should mention that you can save the images as MPO (3D) and extract JPEGS with 3rd party software, -or- you can have them stored as MPO+JPEG via a setup option.And, if you are a MAC user, note that the software that ships with this camera (as of this writing, July 2012) is completely useless, and you will want something else, like ""AnaglyphMaker"", ""Anaglyph Workshop"" both freely downloadable from the web, to convert the images for viewing on your mac with the red-blue glasses.Also, you should be aware that the nature of 3D photography limits certain aspects of the camera's ability to automatically adjust the two images when you are ""up close"".",CS,N
239,416,416,230,230,compression,20,13,3705064,B003ZHV70M,Fujifilm FinePix Real 3D W3,"I like to edit photos to add effects, and to do that I need to extract the JPEGs from an MPO (It would be nice if the camera saved both Left and Right JPEGs).I did not use the included software -- I used a free program called ""3D IMAGE MAKER"" which has a lot of control and lets you adjust the 3D effect, save as an MPO file, extract JPEGs from an MPO or save in other 3D filetypes (such as red/blue glasses in JPEG form).I was very disappointed in the Video quality - it's 720P High Definition but looks more like a webcam.",CS,P
240,418,418,706,706,compression,20,12,3705039,B003ZHV70M,Fujifilm FinePix Real 3D W3,The best part is that the default setting is for the camera to take both a 3D and a standard JPEG at the same time.,CS,P
241,420,420,710,710,compression,20,12,3705068,B003ZHV70M,Fujifilm FinePix Real 3D W3,I'm using the W3 on a tripod and for maximum stability and picture quality I'd like to use a remote for this project.3) Doesn't save pictures as a .jpeg - The W3 saves its picture files as .mpo files.,CS,P
242,424,424,1468,1468,compression,20,11,3704955,B003ZHV70M,Fujifilm FinePix Real 3D W3,"Also like being able to have the 3D file and a 2D jpeg at the same time, so if I have a great shot that I want to print normally I can.",CS,P
243,428,428,2655,2655,compression,20,1,7750856,B00HGE3C5I,Fujifilm FinePix S1 ,"zoom, much better image resolution and clarity than Fuji's HS50, good battery life (intervalometer took a JPeg and RAF [RAW] image of bald eagles every 15 seconds for 6 hours including a rain storm), water and dust resistance, and WiFi control.Negatives include the tiny sensor doesn't handle low light very well, as of early May of '14 Adobe doesn't yet recognize the S1's RAW file format, and documentation fails to point out that digital zoom is deactivated if you elect to save RAW (&#34;RAF&#34;) files.",CS,P
244,430,430,2658,2658,compression,20,1,7750865,B00HGE3C5I,Fujifilm FinePix S1 ,"However, looking at the images people have produced with the Canon SX50 and Panasonic FZ70 on user-forums like DPreview, it makes me wonder whether some of the S1's competition could be doing a better job with their small-sensor JPEG image processing, and that's worth thinking about.",CS,P
245,431,431,151,151,compression,20,13,3625008,B003VYB1K0,Fujifilm FinePix S2800HD,"I would say they probably wil be kicked off digital camera market in near future, which is sad, as they have been accounted for some really great cameras in a past.I tried number of fuji cams and all of them, have bad fuzzy jpegs even in bright sunlight, primitive image control, very poor dynamic range.",CS,N
246,432,432,1439,1439,compression,20,11,1263338,B000OUBPV4,Fujifilm Finepix S5,"Is best if you shoot in RAW, but even in jpegs software will definitely help.",CS,P
247,434,434,2000,2000,compression,20,11,6955183,B00ATM1MVU,Fujifilm FinePix SL1000 ,Fujifilm offers 100x Intelligent Digital Zoom that brightens some of the darkest areas so my indoor shots are suitable for the high-quality images I need for my web page.The FinePix SL1000 comes equipped with a high-resolution electronic view finder that makes it easier to frame subjects (something I did not have with the Canon Powershot).I shoot mostly in JPEG (standard and fine) format but appreciate the ability to shoot in RAW.,CS,P
248,435,435,2001,2001,compression,20,11,6955184,B00ATM1MVU,Fujifilm FinePix SL1000 ,"There is some argument about how film ISO translates to digital ISO, but for comparison purposes across the same brand the SL1000 is much better here.JPEG  (Stills) and AVI (movies) are the only file outputs on the S4500 while the SL1000 can do JPEG, RAW (RAF format) and even MPO (Which is 3D) as well,  the movie output is in MOV form not AVI.The S4500 actually has more shooting modes (Zoom Bracketing, Natural Light, Natural Light & with Flash, Portrait, Baby, Smile, Landscape, Sport, Night, Night (Tripod), Fireworks, Sunset, Snow, Beach, Party, Flower, Text) than the SL100 which has (Portrait, Landscape, Sport, Night, Night (Tripod), Fireworks, Sunset, Snow, Beach, Party, Flower, Text).",CS,P
249,436,436,399,399,compression,20,13,4150879,B004HO58KC,Fujifilm FinePix T300 ,"My wife carries around a Panasonic Lumix--Leica lens--from three years back, and the Lumix still makes better pictures than this camera, but is also twice the size and was twice the price; and this camera shoots more than decent video.Strengths:Video has few compression errors, unlike many other cameras, and you can do an optical zoom/autofocus while recording.Built in lens cover.Indoor light balance can be superb with or without flash, or it can be drab, I wish I could figure out how to get consistent results.The unit is very compact, a fact made more remarkable by the telescoping 10x zoom.The macro mode--see my submitted photo of ants on Fruit Loops--is very good for getting detail out of extreme closeups.Weaknesses:The dynamic range of most photos is lower than I'd like giving pictures with a lot of black levels a bit of a smudged look.",CS,P
250,438,438,948,948,compression,20,12,5038046,B005KBB79C,Fujifilm X10 ,"If you only shoot JPEGs, it's certainly no issue.In 40 years of shooting photos I can't remember ever returning any camera, lens or other piece of photo gear unless it was defective.",CS,N
251,439,439,955,955,compression,20,12,5038195,B005KBB79C,Fujifilm X10 ,So I save both the RAW and JPEG and use the JPEG except for the most unusual cases.,CS,N
252,443,443,599,599,compression,20,13,5038088,B005KBB79C,Fujifilm X10 ,"Nevertheless, I still remain pretty enthralled with my X10, and now I see that Amazon has finally dropped the price a bit to make it even more attractive.If you're the kind of photographer who just likes to take low-resolution JPEG snapshots to email to friends on upload to your Facebook, then you'd probably be just as well off with a $150 point-and-shoot.",CS,P
253,444,444,600,600,compression,20,13,5038105,B005KBB79C,Fujifilm X10 ,"""ISO 100- 12800""  But the highest sensitivities are only available when shooting small JPEGs.",CS,P
254,447,447,604,604,compression,20,13,5038170,B005KBB79C,Fujifilm X10 ,"this is a pretty decent working range for such a small camera/sensor.i am now shooting RAW + JPEG, whereas with my DSLR i only shoot RAW.",CS,P
255,450,450,608,608,compression,20,13,5038170,B005KBB79C,Fujifilm X10 ,"you can't shoot RAW in EXR modes, nor can you shoot RAW in the panorama mode or advanced modes like ""pro low light"", and it's hard to know if you're better off with an out of camera JPEG from one of these modes than a RAW file.",CS,P
256,452,452,946,946,compression,20,12,5038046,B005KBB79C,Fujifilm X10 ,"I've proven to my own eyes that a RAW file, once processed, will give a better image than a JPEG right out of the camera.",CS,P
257,453,453,947,947,compression,20,12,5038046,B005KBB79C,Fujifilm X10 ,"The RAW converter supplied means the Fuji X10 is pretty much a JPEG only camera, in my opinion.The X10 does have a great performance in some areas.",CS,P
258,454,454,950,950,compression,20,12,5038119,B005KBB79C,Fujifilm X10 ,"I have the camera set to its highest resolution and on the fine setting and it doesn't seem to matter whether I shoot in Raw or Jpeg, the pictures look out of focus slightly (yes, I upped the sharpening level), but then noticed how the pictures took on a washed out look as well.",CS,P
259,455,455,951,951,compression,20,12,5038148,B005KBB79C,Fujifilm X10 ,"but i'd still buy it again since i don't have a big problem with the blooming, as I don't shoot much at night or into specular highlights, and when I do I can accept the degradation to overall image quality, and don't mind working around to what extent is possible if necessary (raise ISO, close aperture)what this camera has and does well unfortunately doesn't come on any other compact camera, or any other camera period, all in one:- manual zoom- a variety of manual buttons, including 2 custom buttons- decent OVF (relatively)- good quality from JPEG in terms of noise, detail, color- pretty fast performance shot to shot- 1cm super macro- great dynamic range (as long as there aren't extremely bright spots that bloom)- light, pocketable in a pinch (not comfortable or anything, just pocketable if you really need to)for these features, I don't mind the flaws with blooming, occasionally failing AF, occasional overexposed images, not so great stabilization, etc.",CS,P
260,456,456,952,952,compression,20,12,5038158,B005KBB79C,Fujifilm X10 ,"Con: Zooming is a two handed operation one to hold the camera and the other to zoom.Rubber thumb grip well placed.Decent hand-held Panorama.So far, Orbs only occur on bright light sources at night or white foam of waves, looking like a JPEG artifact.",CS,P
261,458,458,1550,1550,compression,20,11,5038031,B005KBB79C,Fujifilm X10 ,"While the X20 enjoys a small resolution advantage in raw files, I found that its jpegs were not even close to the excellent quality jpegs produced by the X10.",CS,P
262,459,459,1551,1551,compression,20,11,5038031,B005KBB79C,Fujifilm X10 ,"The X10 jpegs are among the best out there, and using some of the advanced options, shooting up to 3200 for small enlargements (up to 8x10)  should be fine.",CS,P
263,461,461,1556,1556,compression,20,11,5038128,B005KBB79C,Fujifilm X10 ,"For jpeg, the Fuji really speaks to me.The other cameras within this group are all very very good as well.",CS,P
264,466,466,316,316,compression,20,13,3845369,B0043RS864,Fujifilm X100 ,"While I'm not against shooting RAW, I greatly prefer the speed, size, and convenience of JPEG files.Overall, the camera is a pleasure to hold and use.",CS,P
265,468,468,318,318,compression,20,13,3845393,B0043RS864,Fujifilm X100 ,"i love the film stock simulations in jpeg mode, and most of the time shoot that way instead of RAW just because the colors come out so nice i rarely need to manipulate anything.",CS,P
266,471,471,322,322,compression,20,13,3845465,B0043RS864,Fujifilm X100 ,"Not sure how this affects the JPEG conversion since my favorite RAW program (DxO) doesn't yet support the Fuji X100.The menus aren't any better or worse than the menus from Panasonic, Canon, or Nikon.",CS,P
267,474,474,325,325,compression,20,13,3845509,B0043RS864,Fujifilm X100 ,"But I'm sure those who like the RAW format, won't even consider JPEG..",CS,P
268,477,477,755,755,compression,20,12,3845462,B0043RS864,Fujifilm X100 ,"The out of camera JPEG images are absolutely stunning, even at 3200 ISO, and are better in their color and tonality than my best Lightroom-tweaked images from the D90.",CS,P
269,483,483,1982,1982,compression,20,11,6954902,B00ATM1MVA,Fujifilm X100S,I prefer the X100S over the 7D for:Image Quality (The reviews are correct; SOOC JPEGS are fantastic.,CS,P
270,484,484,1986,1986,compression,20,11,6954943,B00ATM1MVA,Fujifilm X100S,"I noticed the dynamic range isn't very good on the OOC jpegs or at least, to my eyes, the shadows don't show much details.",CS,P
271,486,486,1988,1988,compression,20,11,6954956,B00ATM1MVA,Fujifilm X100S,"First go to Sigma DP2 merrill and DP3 merrill reviews (I just posted one)I initially had the x100 and now x100sThis is a brillant camera, fast AF, lovely JPEG pictures (don't have to spend any time on the computer they are so good), what I do is to take the JPEG pictures but for the ones which I think I will print big (20 x30 or bigger), will take them in RAW also and convert it in-camera.I have gotten rid of all my DSLR's (Canon, Nikon etc) and only use this and it stays with me where I go, it is small enough to go in my pocket and with great battery life (unlike the sigma)Just get it.",CS,P
272,488,488,1991,1991,compression,20,11,6954966,B00ATM1MVA,Fujifilm X100S,"I feel that with good light this camera produce great videos, it is possible to have great Bokeh effect too!Digital Zoom 90mm is not aviailable in new X100S, in X100 it gives amazing result!Pros:1, Great F2 lens, very sharp.2, Image quality is outstanding and stunning!3, JPEG files are very beautiful.4, Sexy & light weight5, New Artistic filters are fun to use.6, Appearance, a big plus.7, Very silent.Cons:1, Poor video features.2, Slightly expensive.3, Battery cover accidentally opens and that too frequently.4, Focus selection switch is not user friendly, should be changed.My feature wish list for next upcoming camera for this X100 series is:1, Panasonic GH3 like video solution with dedicated video features.2, HDR feature.3, Full frame.4, Tilt screen.5, Water & Dust proof.6, Shutter release cable.7, Direct ND filter access.As mentioned before, the launch of X100S does not make X100 a bad camera, X100 is still great camera with the exception of speed.I also noticed X100S produces darker image than X100.ND Filter/ Flash combo is great to use!X100S has moir&eacute; patterns but a little lesser than X100 though.ND Filter should be accessible by single button and there should be separate button for it.Conclusion:X100S is the day camera and you can learn so much with it, and it will not disappoint you in terms of performance specially its Image Quality.",CS,P
273,489,489,1992,1992,compression,20,11,6954969,B00ATM1MVA,Fujifilm X100S,I do find the jpegs to be too smooth at high ISO...yes I know one can make adjustments to help alleviate this problem...but not in its entirety...I guess working in raw may be the better option...but for all saying this is a great street photographers camera....well in very good light it is...but get on the shady side of a street and this camera will be slow to focus...to shoot street with this camera the best way to go is to set this camera up to use as a rangefinder as opposed to using autofocus...learn your hyperfocal distance and set this camera up accordingly ...you will be very pleased...and maybe learn another way to do photography...good luck with this and enjoy,CS,P
274,490,490,1994,1994,compression,20,11,6955014,B00ATM1MVA,Fujifilm X100S,"Don't worry about sharpness; it is superb (owning to removal of the anti-aliasing filter we are told, but those are for nerds - the results are all I know personally).FilesThe image files are just superb - the jpegs look great enough right out of camera for casual use; and the raw files yield superb images with my workflow (Lightroom 4.x, PS6 and Nik Software Collection).This is the reason you will want to buy a Fuji.",CS,P
275,492,492,1996,1996,compression,20,11,6955014,B00ATM1MVA,Fujifilm X100S,"There is just something pleasing about them.I like the jpeg picture settings - they are not generic and soulless 'vivid"" ""standard"" ""Potrait"" etc., but very unique looks, wherein saturation, contrast etc obviously vary, but the result is a cohesive artistic whole and not just a result of tweaked settings.",CS,P
276,493,493,1997,1997,compression,20,11,6955014,B00ATM1MVA,Fujifilm X100S,"I think the NEX or 4/3 system cameras or even the superzoom cameras serve better for such users, and provide a more gradual learning curve.Scores (these are extremely subjective based on my own experience and not based on clinical test)Build quality, look and feel - 9 (only gripes: strap feels cheap, lens cap falls off easily)Picture quality (sharpness, noise, color rendition etc)JPEG  - 9.5RAW  - 9FocusingAF  - 8 (points deducted only for not so useful AF-C)MF - 8.5Viewfinder  - 10 (amazing technological achievement)Ergonomics and layout  - 7 (apart from points made above; would have preferred a dedicated ISO and AF-on button)UI and shooting options  - 8.5 (if you don't need scene modes or art filters)",CS,P
277,494,494,1998,1998,compression,20,11,6955018,B00ATM1MVA,Fujifilm X100S,In my opinion in this day and age most if not all cameras should output good JPEG files.,CS,P
278,495,495,2451,2451,compression,20,1,6954891,B00ATM1MVA,Fujifilm X100S,"SOOC JPEGs are great, and RAW files are malleable in the newest versions of Lightroom.",CS,P
279,497,497,2454,2454,compression,20,1,6954929,B00ATM1MVA,Fujifilm X100S,"I haven't spent too much time with the RAW files, so I guess that means I like the JPEGs.",CS,P
280,498,498,2456,2456,compression,20,1,6954975,B00ATM1MVA,Fujifilm X100S,"Print a few jpegs, and you will see what I mean.By all means, if you are looking to simplify things and willing to trust the awesomeness of the x100s film jpegs, take the plunge and don't look back.",CS,P
281,499,499,2458,2458,compression,20,1,6954999,B00ATM1MVA,Fujifilm X100S,"The jpegs straight out of the camera are usually excellent, but if you don't mind processing RAW images, you can get even better results.",CS,P
282,500,500,2459,2459,compression,20,1,6954999,B00ATM1MVA,Fujifilm X100S,"When the aperture is wide-open at 2.0 and you're doing a close-up, the camera might take a second or two to focus; but in most situations it works almost instantaneously.Recommended accessories: *STK's Fuji NP-95 Battery*Manfrotto MB SCP-7BB NANO VII Camera Pouch*Gariz Genuine Leather XA-CFX100BK Camera Cap Fixs for Fuji Fujifilm X100 X100S*Apple Wall Plug Duck Head for Apple Macbook (to replace the bulky cord on the charger)*Transcend 16GB Class 10 SDHC Flash Memory Card (good for about 400 shots of ""raw + fine .jpg"", or 2452 fine jpegs)*Fujifilm EF-20 Shoe Mount Flash (when the built-in flash isn't strong enough)*Domke F-6 Little Bit Smaller Bag*Lensmate concave brass soft release button*Domke 1-Inch Camera Strap (web) 740-1BK*Sea to Summit Nylon Stuff Sack (XXS, 1 liter) [protects against dust and moisture]*Book: Fujifilm X100S: From Snapshots to Great Shots (not released yet)",CS,P
283,503,503,1958,1958,compression,20,11,6954763,B00ATM1MHO,Fujifilm X20 ,"When continuous shooting RAW shots the camera stops after 8, and for JPEGs the camera starts to slow down after about 12 shots.",CS,N
284,504,504,1978,1978,compression,20,11,6954881,B00ATM1MHO,Fujifilm X20 ,")* Very good focus accuracy - maybe only 5% of my shots had missed focus* Incredibly sharp lens at all focal lengths and apertures (sharper than my Nikon 16-85mm, and Panasonic 14-45mm Lenses), with no de-centering* Excellent ISO 100 JPEG's with very good detail (Note: I did not test RAW images)* Menu system is easy to navigate* Q button is very handy* Viewfinder now fits tightly with the body (it was slightly loose on many X10's), and is definitely usableCONS* Camera is just a bit too small for my medium-sized hands, making the handling just a bit uncomfortable* Both dials are fiddly to use, and operate slowly/not at a 1:1 ratio when changing values (for example, when in Av Mode and you want to change the aperture quickly, you can turn the dial 3 clicks quickly, but it might only register 1 click;  if you wanted to go from f2.0 to f/8.0, you have to sit there and just keep turning the dial... waiting to finally get there - it's the only thing that I found where the operation is annoyingly slow)* Battery/Memory Card hatch quality does not quite match the rest of the camera*  LCD screen is small, and slightly laggy in darker conditions (the LCD screen is one area where this camera significantly lags behind the competition)* The exposure compensation dial is too stiff, and difficult to turn (but I definitely prefer this over the dial being too loose)* Movies came out too dark (but I admit that I didn't spend a lot of time dialing this in)* Continuous focus didn't work AT ALL (it may have been broken on my sample???",CS,N
285,505,505,1980,1980,compression,20,11,6954881,B00ATM1MHO,Fujifilm X20 ,"(Noise reduction at -1 seemed to produce the best balance of holding detail while keeping the noise reduction (the source of smearing) at a minimum* There is minor JPEG artifacting in the corners at certain focal lengths, probably due to distortion correction* Very poor battery lifeUnfortunately, my camera came with a deep scratch in the metal below the front logo, and scratches on the rear LCD screen.",CS,N
286,506,506,1959,1959,compression,20,11,6954763,B00ATM1MHO,Fujifilm X20 ,"Thankfully, the Fuji lets you adjust noise reduction of the JPEG files and I've found that by reducing it to the lowest level available you get a decent amount of detail back, and, to me, it's worth the extra noise.",CS,P
287,511,511,1965,1965,compression,20,11,6954791,B00ATM1MHO,Fujifilm X20 ,I initially shot only JPEG and was pleased with the results.,CS,P
288,512,512,1966,1966,compression,20,11,6954791,B00ATM1MHO,Fujifilm X20 ,"In JPEG mode I like the dynamic range mode on auto, and it will help restore shadow detail if you shoot into bright light.",CS,P
289,513,513,1967,1967,compression,20,11,6954816,B00ATM1MHO,Fujifilm X20 ,"There are said to be about fifty improvements that have been made, but in all fairness, I won't get into a Fuji X20 vs. X10 comparison here, as my experience with the earlier model was limited to just a few days use.Getting right down to the subjective points, followed with a more detailed look based on personal use, here are my basic observations.&#9670; Pros:+ Excellent retro design; solid build quality coupled with good contemporary ergonomics+ Sharp 4x optical zoom; comfortable 28mm to 112mm f/2.0- f/2.8 equivalent, image stabilization+ Has a 7-blade aperture diaphragm; contributes to excellent bokeh effects+ EXR Processor II dual CPUs; cold start-up time about  second, super-fast sequential shooting+ Near-instant autofocus; virtually no time lag when the shutter button is pressed+ New 2/3-inch X-Trans CMOS II sensor; 12MP, offers excellent image quality+ Hybrid AF; autofocus instantly switches between high-speed phase detection AF and contrast AF+ Front focus selector dial; AF-S (single autofocus), MF (manual), AF-C (continuous autofocus) modes+ Advanced OVF; optical viewfinder offers exposure info overlay via Digital Trans Panel, 85% coverage+ 2.8-inch color LCD monitor; approximately 460,000 dots, 100% coverage+ Excellent ergonomics; rational array of controls, easy to master+ Rechargeable NP-50 Li-ion battery; averages 190 - 220 shots per charge depending on settings, actual+ Full manual exposure plus Program, Aperture- and Shutter priority modes and more+ Uses readily-available SD, SDHC and SDXC memory cards; full support+ RAW (RAF format) support; also offers JPEG and RAW+JPEG+ ISO range is 100-12800 (in Auto); control available up to ISO 3200+ Excellent ergonomics; raised grip area on the body with a thumb rest, add to handling+ Threaded socket on shutter button; allows for threaded cable releases, soft shutter buttons+ Made in Japan; all of Fujifilm's X-Series cameras are made in Japan+ Built-in advanced filters; allow a choice of 8 artistic effects&#9670; Cons:- Battery life could be far better- Wish this camera would go to 24mm wide angle- Picky point: the X20 lacks a built-in neutral density filter&#9670; First Impressions:The X20 came well packaged in a distinctive black box, and from the moment it was opened and taken out, the feel of a solid, precision camera was quite apparent.",CS,P
290,516,516,1971,1971,compression,20,11,6954842,B00ATM1MHO,Fujifilm X20 ,"However, you can perform RAW to jpeg conversion in-camera on your backed up RAW images, using the X20's excellent in-camera RAW converter, after copying the RAW images from your computer back to the SD card.",CS,P
291,517,517,1972,1972,compression,20,11,6954842,B00ATM1MHO,Fujifilm X20 ,"Out of camera jpeg images are excellent and often I don't worry about post-processing.Given the very large percentage of good to excellent images I am able to get out of this camera, I feel my expectations have not only been met, but exceeded by a wide margin.",CS,P
292,518,518,1973,1973,compression,20,11,6954859,B00ATM1MHO,Fujifilm X20 ,"That said, the final result (regular JPEG with no post-processing) do not ""pop"" like the photos from some of my other cameras.The X20 does look stunning - and in some cases, people thought I was working with old fashioned film.",CS,P
293,519,519,1974,1974,compression,20,11,6954872,B00ATM1MHO,Fujifilm X20 ,"I particularly like the programmable `Fn' button, which I have set to RAW+jpeg.",CS,P
294,520,520,1977,1977,compression,20,11,6954881,B00ATM1MHO,Fujifilm X20 ,"I only shot JPEG's, since that is what I planned to use the camera for.PROS* The camera exudes style and quality* Solid, extremely well-built body, with a good feel to most buttons* Lens zooming is very smooth, with very little wobble at full extension (also, the sticky point midway between OFF and 28mm appears to be gone - this was present on the X10 that I had)* Very fast operation (focusing, shutter release, flash pictures, flash recycle, etc.",CS,P
295,521,521,2447,2447,compression,20,1,6954821,B00ATM1MHO,Fujifilm X20 ,"Shoot B/W where noise tend to look more like grain than digital noisePros:+ Great handling, love the exposure dial and easy to navigate menus (maybe Pentax MX1 has better menu)+ Retro style is pleasing+ Fast response makes it easy to take pictures, will get a lot more use out of the camera this way+ Very smart auto mode that helps capture scenes in all lighting conditions+ Fun and useful artistic filters/modes.+ Fast & accurate Auto Focus+ Fast boot up timeCons:- The auto modes cannot be fine tuned (ISO, Noise Reduction, Sharpness & Dynamic Range are all locked), so you have very little control over image quality when you put it in auto modes.- The camera can capture scenes even in poor lit conditions because it sacrifices ISO to achieve faster shutter speeds, but you end up with horrible noise & artifacts- This camera is noisy and the JPEG converter & default settings add a lot of artifacts and smearing to the JPEG.",CS,P
